company_name,industry,symbol,Series,sector,ticker,f&o
Endurance Technologies Limited,Automobile and Auto Components,ENDURANCE,EQ,Automobile and Auto Components,ENDURANCE.NS,#N/A
Engineers India Limited,Construction,ENGINERSIN,EQ,Construction,ENGINERSIN.NS,#N/A
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,Capital Goods,ENRIN.NS,#N/A
Epigral Limited,Chemicals,EPIGRAL,EQ,Chemicals,EPIGRAL.NS,#N/A
EPL Limited,Capital Goods,EPL,EQ,Capital Goods,EPL.NS,#N/A
Equitas Small Finance Bank Limited,Financial Services,EQUITASBNK,EQ,Financial Services,EQUITASBNK.NS,#N/A
Eris Lifesciences Limited,Healthcare,ERIS,EQ,Healthcare,ERIS.NS,#N/A
Esab India Limited,Capital Goods,ESABINDIA,EQ,Capital Goods,ESABINDIA.NS,#N/A
Escorts Kubota Limited,Capital Goods,ESCORTS,EQ,Capital Goods,ESCORTS.NS,#N/A
Eternal Ltd.,Consumer Services,ETERNAL,EQ,Consumer Services,ETERNAL.NS,F&O
Exide Industries Limited,Automobile and Auto Components,EXIDEIND,EQ,Automobile and Auto Components,EXIDEIND.NS,F&O
Fertilizers and Chemicals Travancore Limited,Chemicals,FACT,EQ,Chemicals,FACT.NS,#N/A
Fineotex Chemical Limited,Chemicals,FCL,EQ,Chemicals,FCL.NS,#N/A
FDC Limited,Healthcare,FDC,EQ,Healthcare,FDC.NS,#N/A
The Federal Bank Limited,Financial Services,FEDERALBNK,EQ,Financial Services,FEDERALBNK.NS,F&O
Finolex Cables Limited,Capital Goods,FINCABLES,EQ,Capital Goods,FINCABLES.NS,#N/A
Fine Organic Industries Limited,Chemicals,FINEORG,EQ,Chemicals,FINEORG.NS,#N/A
Finolex Industries Limited,Capital Goods,FINPIPE,EQ,Capital Goods,FINPIPE.NS,#N/A
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,Consumer Services,FIRSTCRY.NS,#N/A
Five-Star Business Finance Limited,Financial Services,FIVESTAR,EQ,Financial Services,FIVESTAR.NS,#N/A
Gujarat Fluorochemicals Limited,Chemicals,FLUOROCHEM,EQ,Chemicals,FLUOROCHEM.NS,#N/A
FORCE MOTORS LTD,Automobile and Auto Components,FORCEMOT,EQ,Automobile and Auto Components,FORCEMOT.NS,F&O
Fortis Healthcare Limited,Healthcare,FORTIS,EQ,Healthcare,FORTIS.NS,F&O
Firstsource Solutions Limited,Services,FSL,EQ,Services,FSL.NS,#N/A
Fusion Micro Finance Limited,Financial Services,FUSION,EQ,Financial Services,FUSION.NS,#N/A
