ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close,stage_variant,stage_classification,stage_display
VEDL.NS,Vedanta Limited,Metals & Mining,Unknown,True,F&O,Stage 4,watchlist,14.89,1.4,5.53,2.76,-52.96,278.85,Stage 4,Stage 4,Stage 4
KALYANKJIL.NS,Kalyan Jewellers India Limited,Consumer Durables,Unknown,True,F&O,Stage 2,watchlist,53.86,1.39,-1.03,36.86,25.22,606.3,Stage 2,Stage 2,Stage 2
DATAMATICS.NS,Datamatics Global Services Limited,Information Technology,Unknown,False,Cash,Stage 2,watchlist,34.31,1.39,5.3,2.0,9.04,865.15,Stage 2,Stage 2,Stage 2
INDIANB.NS,Indian Bank,Financial Services,Unknown,True,F&O,Stage 2,watchlist,60.98,1.32,7.52,15.16,9.11,889.5,Stage 2,Stage 2,Stage 2
PETRONET.NS,Petronet LNG Limited,"Oil, Gas & Consumable Fuels",Unknown,True,F&O,Stage 2 Failed,watchlist,51.02,1.32,-0.05,1.24,-1.48,280.6,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
AARTIDRUGS.NS,Aarti Drugs Limited,Healthcare,Unknown,False,Cash,Stage 2,watchlist,68.4,1.3,-1.55,5.27,0.43,416.2,Stage 2,Stage 2,Stage 2
INDIACEM.NS,The India Cements Limited,Construction Materials,Unknown,False,Cash,Stage 1,watchlist,22.56,1.3,-0.31,7.19,-8.69,398.15,Stage 1,Stage 1,Stage 1
APLAPOLLO.NS,APL Apollo Tubes Limited,Capital Goods,Unknown,True,F&O,Not Sure,watchlist,57.12,1.29,8.27,10.31,0.0,1970.0,Not Sure,Not Sure,Not Sure
PILANIINVS.NS,Pilani Investment and Industries Corporation Limited,Financial Services,Unknown,False,Cash,Stage 4,watchlist,31.04,1.29,1.23,1.46,-15.43,4370.7,Stage 4,Stage 4,Stage 4
NCC.NS,NCC Limited,Construction,Unknown,False,Cash,Stage 4,watchlist,19.96,1.29,3.32,1.17,-9.92,145.59,Stage 4,Stage 4,Stage 4
HGS.NS,Hinduja Global Solutions Limited,Services,Unknown,False,Cash,Stage 1,watchlist,17.85,1.26,1.3,4.51,-6.48,428.4,Stage 1,Stage 1,Stage 1
CRISIL.NS,CRISIL Limited,Financial Services,Unknown,False,Cash,Stage 2,watchlist,59.89,1.24,4.54,19.26,7.69,4607.0,Stage 2,Stage 2,Stage 2
GRINDWELL.NS,Grindwell Norton Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,45.15,1.24,1.52,6.74,38.24,2133.8,Stage 2,Stage 2,Stage 2
RITES.NS,RITES Limited,Construction,Unknown,False,Cash,Stage 1,watchlist,29.65,1.24,7.53,4.98,-2.9,234.24,Stage 1,Stage 1,Stage 1
KRBL.NS,KRBL Limited,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 1,watchlist,27.71,1.23,7.99,5.24,-4.26,378.65,Stage 1,Stage 1,Stage 1
